raw_id,rank_title,role_normalized,company_std,location,location_std,pay_in_,salary_clean,salary_band,experience_level,years_experience_num
J2000,Penetration Tester,Pentester,,Denmark,Denmark,97647,97647.0,70-100k,Senior,
J2001,Security Architect,Architect,,Germany,Germany,84920,84920.0,70-100k,Mid-Level,
J2002,GRC Manager,Manager,,Germany,Germany,91138,91138.0,70-100k,Mid-Level,
J2003,Security Architect,Architect,,America,America,113464,113464.0,100-150k,Senior,
J2004,GRC Manager,Manager,,New York,New York,99732,99732.0,70-100k,Senior,
J2005,Security Architect,Architect,,United Kingdom,United Kingdom,145976,145976.0,100-150k,Mid-Level,
J2006,Security Architect,Architect,,Germany,Germany,140184,140184.0,100-150k,Mid-Level,
J2007,Security Architect,Architect,,China,China,134879,134879.0,100-150k,Entry-Level,
J2008,Security Compliance Manager,Manager,,Canada,Canada,104110,104110.0,100-150k,Entry-Level,
J2009,Security Compliance Manager,Manager,,Denmark,Denmark,98904,98904.0,70-100k,Entry-Level,
J2010,Security Architect,Architect,,Germany,Germany,138812,138812.0,100-150k,Entry-Level,
J2011,GRC Manager,Manager,,United Kingdom,United Kingdom,87450,87450.0,70-100k,Senior,
J2012,Security Consultant,Security Consultant,,New York,New York,100649,100649.0,100-150k,Senior,
J2013,Penetration Tester,Pentester,,Canada,Canada,118125,118125.0,100-150k,Entry-Level,
J2014,Security Consultant,Security Consultant,,America,America,104981,104981.0,100-150k,Mid-Level,
J2015,Cloud Architect,Architect,,China,China,96691,96691.0,70-100k,Entry-Level,
J2016,Security Architect,Architect,,China,China,84840,84840.0,70-100k,Entry-Level,
J2017,Penetration Tester,Pentester,,Germany,Germany,96652,96652.0,70-100k,Mid-Level,
J2018,Security Architect,Architect,,China,China,109063,109063.0,100-150k,Mid-Level,
J2019,Cloud Architect,Architect,,United Kingdom,United Kingdom,108407,108407.0,100-150k,Entry-Level,
J2020,Penetration Tester,Pentester,,China,China,98343,98343.0,70-100k,Mid-Level,
J2021,Security Architect,Architect,,Germany,Germany,125918,125918.0,100-150k,Mid-Level,
J2022,Security Architect,Architect,,Canada,Canada,104566,104566.0,100-150k,Mid-Level,
J2023,Security Compliance Manager,Manager,,America,America,81449,81449.0,70-100k,Entry-Level,
J2024,Security Compliance Manager,Manager,,New York,New York,105064,105064.0,100-150k,Senior,
J2025,Security Architect,Architect,,Germany,Germany,126005,126005.0,100-150k,Entry-Level,
J2026,GRC Manager,Manager,,Denmark,Denmark,111048,111048.0,100-150k,Entry-Level,
J2027,Security Architect,Architect,,China,China,95776,95776.0,70-100k,Entry-Level,
J2028,Penetration Tester,Pentester,,China,China,109947,109947.0,100-150k,Entry-Level,
J2029,Cloud Architect,Architect,,Canada,Canada,91643,91643.0,70-100k,Senior,
J2030,Security Consultant,Security Consultant,,United Kingdom,United Kingdom,112462,112462.0,100-150k,Mid-Level,
J2031,Security Architect,Architect,,Denmark,Denmark,93948,93948.0,70-100k,Entry-Level,
J2032,Cloud Architect,Architect,,United Kingdom,United Kingdom,91979,91979.0,70-100k,Mid-Level,
J2033,Penetration Tester,Pentester,,China,China,100760,100760.0,100-150k,Mid-Level,
J2034,GRC Manager,Manager,,United Kingdom,United Kingdom,100255,100255.0,100-150k,Mid-Level,
J2035,GRC Manager,Manager,,Germany,Germany,95186,95186.0,70-100k,Entry-Level,
