Rank_ID,Rank_Title,Working Area,Pay in ($),Location,Experience Level,Certification Required,Key Skills
J2000,Penetration Tester,Incident Takeover,97647,Denmark,Senior,Ethical Hacking,Threat Management
J2001,Security Architect,Penetration Tester,84920,Germany,Mid-Level,CCIE,Linux
J2002,GRC Manager,Cloud Security and Architect,91138,Germany,Mid-Level,Ethical Hacking,Linux
J2003,Security Architect,Penetration Tester,113464,America,Senior,CISSP,Mitigation
J2004,GRC Manager,Cloud Security and Architect,99732,New York,Senior,CCIE,Python
J2005,Security Architect,Application and Web Security,145976,United Kingdom,Mid-Level,CISSP,Mitigation
J2006,Security Architect,Application and Web Security,140184,Germany,Mid-Level,CCIE,Mitigation
J2007,Security Architect,Incident Takeover,134879,China,Entry-Level,CompTIA Security+,Mitigation
J2008,Security Compliance Manager,GRC,104110,Canada,Entry-Level,CISSP,Secure Software
J2009,Security Compliance Manager,GRC,98904,Denmark,Entry-Level,Ethical Hacking,Vulnerability Assessment
J2010,Security Architect,Incident Takeover,138812,Germany,Entry-Level,CCIE,Vulnerability Assessment
J2011,GRC Manager,Network Monitoring and Security,87450,United Kingdom,Senior,CCNA,Secure Software
J2012,Security Consultant,Incident Takeover,100649,New York,Senior,CCNA,Secure Software
J2013,Penetration Tester,Penetration Tester,118125,Canada,Entry-Level,CCNA,Python
J2014,Security Consultant,Penetration Tester,104981,America,Mid-Level,CCIE,Mitigation
J2015,Cloud Architect,GRC,96691,China,Entry-Level,CISSP,Secure Software
J2016,Security Architect,Application and Web Security,84840,China,Entry-Level,Ethical Hacking,Threat Management
J2017,Penetration Tester,GRC,96652,Germany,Mid-Level,Ethical Hacking,Threat Management
J2018,Security Architect,Cloud Security and Architect,109063,China,Mid-Level,CompTIA Security+,Secure Software
J2019,Cloud Architect,Incident Takeover,108407,United Kingdom,Entry-Level,Ethical Hacking,Python
J2020,Penetration Tester,Cloud Security and Architect,98343,China,Mid-Level,CCNA,Python
J2021,Security Architect,Security Manager,125918,Germany,Mid-Level,CISSP,Secure Software
J2022,Security Architect,Incident Takeover,104566,Canada,Mid-Level,CompTIA Security+,Threat Management
J2023,Security Compliance Manager,Security Manager,81449,America,Entry-Level,CCNA,Vulnerability Assessment
J2024,Security Compliance Manager,GRC,105064,New York,Senior,Ethical Hacking,Python
J2025,Security Architect,Security Manager,126005,Germany,Entry-Level,CCIE,Mitigation
J2026,GRC Manager,Cloud Security and Architect,111048,Denmark,Entry-Level,CCNA,Python
J2027,Security Architect,Incident Takeover,95776,China,Entry-Level,CCNA,Linux
J2028,Penetration Tester,Network Monitoring and Security,109947,China,Entry-Level,Ethical Hacking,Python
J2029,Cloud Architect,Network Monitoring and Security,91643,Canada,Senior,CCIE,Python
J2030,Security Consultant,Penetration Tester,112462,United Kingdom,Mid-Level,CompTIA Security+,Vulnerability Assessment
J2031,Security Architect,Security Manager,93948,Denmark,Entry-Level,CompTIA Security+,Linux
J2032,Cloud Architect,GRC,91979,United Kingdom,Mid-Level,CISSP,Threat Management
J2033,Penetration Tester,Application and Web Security,100760,China,Mid-Level,Ethical Hacking,Threat Management
J2034,GRC Manager,GRC,100255,United Kingdom,Mid-Level,CCNA,Threat Management
J2035,GRC Manager,Security Manager,95186,Germany,Entry-Level,CCIE,Threat Management
J2036,Security Compliance Manager,Security Manager,101040,Denmark,Entry-Level,CISSP,Vulnerability Assessment
J2037,GRC Manager,Network Monitoring and Security,104945,Germany,Entry-Level,CCNA,Linux
J2038,Security Compliance Manager,Incident Takeover,125486,China,Mid-Level,CISSP,Mitigation
J2039,Security Compliance Manager,Incident Takeover,110580,Canada,Entry-Level,CCIE,Linux
J2040,GRC Manager,Cloud Security and Architect,96451,Denmark,Senior,CCIE,Vulnerability Assessment
J2041,Security Compliance Manager,Incident Takeover,89995,China,Entry-Level,Ethical Hacking,Mitigation
J2042,Security Architect,Cloud Security and Architect,98343,United Kingdom,Senior,CCNA,Python
J2043,Security Compliance Manager,Application and Web Security,87928,Denmark,Senior,CISSP,Vulnerability Assessment
J2044,Security Compliance Manager,Penetration Tester,113986,Canada,Mid-Level,CISSP,Vulnerability Assessment
J2045,GRC Manager,Application and Web Security,94358,New York,Senior,Ethical Hacking,Threat Management
J2046,Cloud Architect,Network Monitoring and Security,104502,America,Entry-Level,Ethical Hacking,Vulnerability Assessment
J2047,Cloud Architect,Cloud Security and Architect,142507,America,Senior,CCIE,Python
J2048,GRC Manager,Penetration Tester,134588,America,Entry-Level,CISSP,Linux
J2049,GRC Manager,Cloud Security and Architect,82993,America,Senior,Ethical Hacking,Linux
J2050,Cloud Architect,Penetration Tester,114046,New York,Mid-Level,CCNA,Python
J2051,Security Compliance Manager,GRC,100863,China,Entry-Level,Ethical Hacking,Vulnerability Assessment
J2052,Penetration Tester,Incident Takeover,102208,America,Mid-Level,CompTIA Security+,Vulnerability Assessment
J2053,Penetration Tester,Security Manager,106194,New York,Senior,Ethical Hacking,Python
J2054,Penetration Tester,GRC,149292,Denmark,Entry-Level,CCNA,Mitigation
J2055,GRC Manager,Cloud Security and Architect,133607,China,Entry-Level,Ethical Hacking,Vulnerability Assessment
J2056,Cloud Architect,Application and Web Security,112137,Canada,Entry-Level,CISSP,Vulnerability Assessment
J2057,Security Consultant,Cloud Security and Architect,128698,America,Mid-Level,CCNA,Vulnerability Assessment
J2058,Security Consultant,Penetration Tester,110188,America,Entry-Level,CCIE,Threat Management
J2059,Security Consultant,Incident Takeover,108483,Canada,Entry-Level,CISSP,Python
J2060,Cloud Architect,Penetration Tester,116298,China,Mid-Level,CCNA,Python
J2061,GRC Manager,Incident Takeover,96849,Germany,Senior,Ethical Hacking,Secure Software
J2062,GRC Manager,Cloud Security and Architect,95065,America,Senior,CompTIA Security+,Secure Software
J2063,Security Compliance Manager,Cloud Security and Architect,130833,New York,Senior,CompTIA Security+,Python
J2064,Security Compliance Manager,Application and Web Security,103714,New York,Senior,CCIE,Threat Management
J2065,Security Compliance Manager,Penetration Tester,106230,Canada,Senior,CCIE,Mitigation
J2066,Cloud Architect,Security Manager,110591,Denmark,Entry-Level,CompTIA Security+,Linux
J2067,Security Consultant,GRC,133588,United Kingdom,Senior,CCIE,Python
J2068,GRC Manager,Cloud Security and Architect,147574,America,Senior,CCIE,Secure Software
J2069,GRC Manager,Penetration Tester,111711,Germany,Mid-Level,Ethical Hacking,Linux
J2070,Penetration Tester,Cloud Security and Architect,106369,America,Entry-Level,CISSP,Mitigation
